comment_id,creation_time,likes,author_id,author_nickname,content,reply_to_comment_id
72-2-17af9668-71ad-4d26-919b-dc67acba68a0,2024-02-10T21:20:50.403226Z,3,f4eb102c-52f8-4821-abf7-168abf0b9518,TiinaMaria72,Järkyttävää. Melko outoon aikaan tuli tuo Ylen uutisointi voittajasta.,None
72-2-1414fd7f-0c85-49e5-a636-a50797c9d67b,2024-02-10T21:20:58.962355Z,0,344b74ca-bc9a-4812-b801-2fa536868ab7,Sarahz,VOXXX,None
72-2-1653b4d1-9b4e-4239-9593-54b7d8bf2d73,2024-02-10T21:20:57.301997Z,1,b433404c-e2cd-4155-b040-94a1ca4ee1d6,finlandelliot,Sini Sabotage oli paras,None
72-2-df2f458f-bb23-433c-9cfb-ccc4e59dc29f,2024-02-10T21:20:56.208412Z,3,0506e4b1-c35e-431d-beed-44024a8c9df5,MaukkaMangusti,Kellää ei tsäänssei voittaa ni hyvä laittaa paras ja hauskin bilebiisi just näin!,None
72-2-ec94c5b1-f89b-426c-a1b5-9f5439bb942d,2024-02-10T21:20:59.633821Z,20,5046f87a-cbee-40bf-bc82-9d6482cc35a3,Henkka Remes,😂😂😂😂 Suomi <3,72-2-f92857a9-7532-47a8-a338-a7ab5059e2fd
72-2-e660cecc-5253-45ec-98f1-b717217c6dab,2024-02-10T21:20:20.683177Z,5,a4efa3bd-73bc-4ceb-bb20-526b9d55f248,Johhanes,Miksei pilvin biisi ollu ehdolla se ois voittanut koko viisut ihan helposti. 😄,None
72-2-dd2f436d-e61b-47c0-9d49-dd53ba2b096c,2024-02-10T21:20:43.473784Z,3,35010d95-45f7-49c4-a968-d0b943e3b4d4,Sandra_100,Huonoin voitti. Voi surkeutta.,None
72-2-5dc10f4f-7019-4489-baab-652fa2c6008f,2024-02-10T21:20:46.121959Z,1,2f384d8e-e3bb-4125-9fe2-0521cb846307,mikkoanonyy,Milläköhän nimellä tuo"voittaja" tunnetaan vuoden päästä kun jossain tajutaan että nimi on suojattu?,None
72-2-8aa2e683-033c-43c6-8622-c610c26769f6,2024-02-10T21:19:28.464015Z,6,426de741-6a47-4e3a-b997-0df82dfd5ad2,sagahelmi,Tosi epäreilua että tää ilmanen äänestysjärjestelmä kaatuu alta aikayksikön eikä kaikki pääse äänestämään…,None
72-2-edfe93f6-81b2-4e11-8b3f-dfb65e8d16dd,2024-02-10T21:20:43.164563Z,0,d34aa670-980b-45b1-a644-a36c64396155,IleTku,Miksi ei julkaistu ????,None
72-2-af9be24d-4ebf-4ef1-9347-7f55c80e5541,2024-02-10T21:20:30.797565Z,5,bc174e06-a07b-4e8b-9681-e6773a95ce46,tähtihetki,Saran ois pitäny voittaa äänestys meni pieleen,None
72-2-694b4ebc-4ad6-44c7-ac1a-7a55655548cb,2024-02-10T21:20:47.542423Z,4,2b6de4d6-af83-49ea-b71e-93122b9495ff,aikkuloll,tehäänks joku adressi siitä lopputuloksesta ja äänestysongelmasta?,None
72-2-54a688fa-12bc-4845-b76c-3661cde9dbeb,2024-02-10T21:20:42.049862Z,3,76329f51-bd36-4aa4-9279-2a75fee4fad5,anonyymi551899,Äänestys oli floppi,None
72-2-e7f76427-1a74-4adf-a1fa-11e330bcb044,2024-02-10T21:20:41.713817Z,0,53c29c99-3830-425c-97d6-0a58ca4e9308,antoneliashalonen,HYVÄ TÄÄ OLI MUN LEPPARI ,None
72-2-d596a4c8-081c-48fd-a35c-c177c1b6403a,2024-02-10T21:20:29.617817Z,8,eb269efc-637c-4885-b514-8ea44860a220,mariellapellinen,SEXMANE IS THE REAL WINNER❣️,None
72-2-01b316a5-d444-4112-8801-3e9fb8098dd7,2024-02-10T21:20:20.217129Z,0,e7e01508-711f-4feb-8a1e-af0a1094ce12,95nevöförgetwindovs,Liput tänne ja meen samassa asussa viisuihi!,None
72-2-011ce4ff-e859-43a0-834e-6dd852ccd5ed,2024-02-10T21:20:29.322011Z,6,ff768f24-00ac-4e64-9381-aa6d85450c1e,Mirmuins,OON PASKANA,None
72-2-c7dc40e5-a463-4a52-aba6-a6aba46cac08,2024-02-10T21:20:44.633842Z,0,8f2e246e-23fa-4874-8bfa-aa6035b320a9,mikkovaananen83,Henkkaa❤️❤️❤️❤️❤️❤️❤️❤️,None
72-2-2eac27df-188b-4c89-814f-495f0b80d68c,2024-02-10T21:20:29.002258Z,1,a3dd75a6-eec4-439b-9f43-64f286a74121,mariAi011,EI,72-2-11368381-ef52-470a-b4b9-2f07d78fce9f
72-2-e2dc66bc-e413-463d-9309-874ee6348cfa,2024-02-10T21:20:28.623315Z,2,5046f87a-cbee-40bf-bc82-9d6482cc35a3,Henkka Remes,MOI JADE!! <3,72-2-fed78029-addf-4ec3-8da8-730861d27414
72-2-63237a51-7e7f-4928-b3a4-21620e021480,2024-02-10T21:20:01.815276Z,0,0ad103e3-499f-4ea7-b8c9-8e92ccf66d79,LivMarkkinen,Nii,72-2-6b801276-6d4d-435f-abd3-2e6f9d15a638
72-2-993b4450-611f-4b85-aeb0-33f25a519c04,2024-02-10T21:20:16.678941Z,0,675a5155-734c-4985-819c-858aa96f256f,Sadeolen,millon liput arvotaa,None
72-2-02119c53-8924-4ae7-b542-2e8d44314081,2024-02-10T21:20:22.745783Z,1,3a304b25-387d-4ed8-9c31-a4d361a4eab7,PiiLäh87,Ainahan olisitte voinut äänestää txt jos niin kovasti saraa toivoitte voittoon... 👍,None
72-2-dda36287-ea41-48c4-b796-c322687f267d,2024-02-10T21:20:16.301856Z,2,e63cc240-46bf-402f-b28f-650b71bd0c9b,herttakarjanlahti,Jos sara ois voittanu ni tääl olis samanlaista haukkumista silti,None
72-2-ccfbd657-d81b-4802-a7cc-f843d9702c7e,2024-02-10T21:20:01.678431Z,6,b2bbcfda-5648-41fa-8c4d-795d6f7c4a57,sannapirita,Sara oli paras!! Nyt mä oon PASKANA! ,None
